medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
4813,,I분할선D,분할선,장방형,하양,
4814,,IDPF120,,원형,분홍,
4815,,KD,RI분할선2,장방형,주황,
4816,,경동 GA300,,장방형,노랑,노랑
4817,,KD,MX분할선10,장방형,하양,
4818,,마크,C분할선V,원형,분홍,
4819,,K분할선D,5분할선RP,장방형,분홍,
4820,,JY,,장방형,초록,
4821,,마크,GB분할선600,타원형,하양,
4822,,TZ,분할선,원형,주황,
4823,,U3,,원형,분홍,
4824,,ETX,M분할선N,장방형,하양,
4825,,DCL,,원형,하양,
4826,,ETX,PR,장방형,초록,
4827,,ETEX NZ,,장방형,갈색,노랑
4828,,PK,,원형,자주,
4829,,PK분할선F,,원형,하양,
4830,,GMT,,타원형,하양,
4831,,KPP,,타원형,주황,
4832,,kpp EXAD    150mg,,장방형,노랑,노랑
4833,,KPP,,타원형,초록,
4834,,PM,분할선,장방형,분홍,
4835,,PRB,,장방형,분홍,
4836,,마크 CFX,,장방형,주황,주황
4837,,ENSIDER,,장방형,하양,
4838,,LX,,원형,하양,
4839,,CFT,분할선,장방형,하양,
4840,,HM,C50,원형,하양,
4841,,CGP8,,타원형,하양,
4842,,CGP31,,원형,하양,
4843,,JW8,,원형,갈색,
4844,,SUDO SUDO TDN  TDN,,장방형,보라,하양
4845,,CTR,,장방형,갈색,
4846,,CZZ,,장방형,초록,
4847,,UK9,,원형,하양,
4848,,SJ O,분할선,장방형,하양,
4849,,TFT,I분할선Y,장방형,갈색,
4850,,마크 RDP,,장방형,갈색,노랑
4851,,마크,+SNPD,장방형,하양,
4852,,Melobic 7.5mg,,장방형,연두,연두
4853,,CLP분할선LOX,,원형,하양,
4854,,CLP,167,원형,하양,
4855,,AH,,원형,하양,
4856,,IH,ΛF,원형,하양,
4857,,NAF,,원형,하양,
4858,,SNP,,원형,하양,
4859,,마크31,,원형,하양,
4860,,IBN,분할선,원형,하양,
4861,,GUJU MCM,,장방형,초록,노랑
4862,,SNP ERD,,장방형,초록,노랑
4863,,마크,H,원형,초록,
4864,,ETX,CM,원형,연두,
4865,,KPP200,,원형,연두,
4866,,WJ15,,원형,하양,
4867,,MMLP,,원형,갈색,
4868,,hw 2,,원형,분홍,
4869,,CPK 클라졸,,장방형,갈색,분홍
4870,,KPP OPZ,,장방형,갈색,분홍
4871,,마크,75,오각형,분홍,
4872,,J,75,원형,분홍,
4873,,CPK,7,원형,하양,
4874,,BC,RM,원형,하양,
4875,,U6,,원형,하양,
4876,,KKM,,타원형,파랑,
4877,,KMS,I1,원형,하양,
4878,,SWLV,25,원형,하양,
4879,,GJ,TM,원형,하양,
4880,,T,마크,원형,하양,
4881,,GXCE2,,장방형,노랑,
4882,,GJS,분할선,원형,하양,
4883,,AG2분할선AG2,분할선,기타,초록,
4884,,DK분할선DK,분할선,기타,초록,
4885,,D-분할선-W,G2분할선G2,기타,청록,
4886,,SI분할선SI,분할선,기타,초록,
4887,,마크,GB분할선800,타원형,하양,
4888,,E분할선L,,타원형,하양,
4889,,EK,,원형,하양,
4890,,C,NVR,원형,하양,
4891,,CH,NVR,원형,하양,
4892,,CU,NVR,원형,하양,
4893,,CL,NVR,원형,하양,
4894,,LCE 150,,타원형,갈색,
4895,,A-007   5,,장방형,파랑,
4896,,T100,마크,원형,노랑,
4897,,DisgrenE.C 300,,장방형,하양,하양
4898,,마크,분할선,원형,파랑,
4899,,MK,분할선,장방형,하양,
4900,,225,,장방형,노랑,
4901,,462125mg,,장방형,분홍,하양
4902,,46180mg,,장방형,하양,하양
4903,,311,,장방형,하양,
4904,,312,,장방형,하양,
4905,,313,,장방형,하양,
4906,,MM,FL  5,원형,분홍,
4907,,MN,,장방형,하양,
4908,,NS,5,원형,분홍,
4909,,RSD분할선2,,장방형,주황,
4910,,DNC DNC,,장방형,초록,하양
4911,,M분할선10,분할선,기타,하양,
4912,,마크,VOR 50,원형,하양,
4913,,마크,VOR 200,타원형,하양,
4914,,ATERONAL   50,분할선,원형,하양,
4915,,ha,,타원형,하양,
4916,,AI,,원형,하양,
4917,,마크 AXT,,장방형,빨강,노랑
4918,,DK,C분할선V,원형,하양,
4919,,TI,,원형,하양,
4920,,DZ,분할선,원형,주황,
4921,,AMI200,분할선,원형,하양,
4922,,K분할선S,3,장방형,분홍,
4923,,AUC,,타원형,하양,
4924,,A분할선U,625,장방형,하양,
4925,,CTNF,,장방형,하양,
4926,,C,T분할선B,원형,하양,
4927,,──-FLZ마크,,장방형,파랑,하양
4928,,NGP,,장방형,자주,
4929,,NRCT,,장방형,하양,
4930,,마크,160,타원형,하양,
4931,,hw71,,장방형,하양,
4932,,FECTAN 300,,장방형,초록,노랑
4933,,KBP CFC,,장방형,파랑,하양
4934,,FCZ 50,,장방형,파랑,하양
4935,,CKD FC,,장방형,파랑,하양
4936,,KP fluna,,장방형,파랑,하양
4937,,마크 BLU-50,,장방형,파랑,하양
4938,,KK,125,원형,하양,
4939,,Y분할선H,,타원형,갈색,
4940,,VCL,,타원형,갈색,
4941,,DTP DTP,,장방형,주황,하양
4942,,YI DRK,,장방형,파랑,하양
4943,,YI,100,원형,하양,
4944,,GBT100 KDC,,장방형,하양,하양
4945,,GBT300 KDC,,장방형,노랑,노랑
4946,,GJ,AF,원형,하양,
4947,,WK,27,원형,하양,
4948,,G분할선M,분할선,기타,연두,
4949,,KMS분할선GMP,분할선,기타,초록,
4950,,A분할선C,분할선,기타,초록,
4951,,H분할선T,G분할선L,기타,초록,
4952,,J분할선Y,분할선,기타,초록,
4953,,SP,SUL,원형,노랑,
4954,,MYCOBUTINyuyu,,장방형,갈색,갈색
4955,,CT CCL,,장방형,보라,하양
4956,,HIP CEFRE,,장방형,보라,하양
4957,,ypp cefaclor,,장방형,남색,하양
4958,,HL ACF,,장방형,보라,하양
4959,,Wal C16,,장방형,빨강,노랑
4960,,RY DPC,,장방형,빨강,하양
4961,,NK CFX,,장방형,주황,주황
4962,,NS CX100,,장방형,주황,주황
4963,,PK PK,,장방형,주황,주황
4964,,마크 CFX,,장방형,주황,주황
4965,,WU CF,,장방형,초록,노랑
4966,,SW MC,,원형,하양,
4967,,HMP,500,타원형,하양,
4968,,RY,,원형,파랑,
4969,,JR분할선CRX,,원형,하양,
4970,,BMS150mg3624,,장방형,파랑,"파랑, 옅은"
4971,,BMS200mg3631,,장방형,파랑,파랑
4972,,YH,B분할선A,타원형,갈색,
4973,,SOCO,I분할선Y,장방형,하양,
4974,,IHP INR,,장방형,자주,자주
4975,,F 7,,장방형,주황,
4976,,마크,,타원형,파랑,
4977,,LAMOZINE100,분할선,사각형,노랑,
4978,,LMZ50,분할선,사각형,노랑,
4979,,Y,,삼각형,파랑,
4980,,AMT,,장방형,초록,
4981,,SUDO RXL,,장방형,초록,노랑
4982,,SD,분할선,타원형,주황,
4983,,SUDO WFT,,장방형,연두,노랑
4984,,마크 Flu,,장방형,파랑,하양
4985,,SINIL,250,장방형,하양,
4986,,KGP,TP100,원형,하양,
4987,,CFX,,장방형,하양,
4988,,ITRA100,,장방형,파랑,"분홍, 투명"
4989,,UT GBPT300,,장방형,노랑,노랑
4990,,AMX,500,타원형,하양,
4991,,RB100,,원형,하양,
4992,,마크 DNZ,,장방형,파랑,하양
4993,,마크 ACP,,장방형,회색,하양
4994,,DA MCCH,,장방형,연두,노랑
4995,,D5,WI,원형,하양,
4996,,RY ATC,,장방형,노랑,"노랑, 옅은"
4997,,RY TCC,,장방형,하양,하양
4998,,ΛMP분할선ΛMP,분할선,기타,연두,
4999,,마크,,타원형,하양,
5000,,마크,,기타,노랑,
5001,,마크 RSD    75,,장방형,연두,하양
5002,,YH,R,원형,하양,
5003,,YH,ETD,타원형,갈색,
5004,,YH,OR,원형,하양,
5005,,IBN,,장방형,노랑,
5006,,ITM,,원형,하양,
5007,,INP,,원형,하양,
5008,,FLUXETIN JRP 20mg,,장방형,연두,노랑
5009,,25,L,원형,하양,
5010,,SL20,분할선,타원형,주황,
5011,,JDN150,,원형,하양,
5012,,CKD,,장방형,하양,
5013,,A분할선C,ASP,장방형,분홍,
5014,,REDOSE REDOSE,,장방형,주황,주황
5015,,마크,,원형,하양,
5016,,G120,,장방형,초록,
5017,,IRESSA 250,,원형,갈색,
5018,,ΛFN,,원형,하양,
5019,,WU,,원형,하양,
5020,,ETX1,,원형,하양,
5021,,CNF,,원형,하양,
5022,,마크분할선LXT,,원형,분홍,
5023,,KKM FLT,,장방형,초록,노랑
5024,,GSK,12.5,원형,노랑,
5025,,LS,,원형,하양,
5026,,KK,T,원형,하양,
5027,,LEGY,,원형,하양,
5028,,KK,ΛT,원형,하양,
5029,,MK,C분할선T,원형,하양,
5030,,SCD,C분할선25,원형,하양,
5031,,SNP,T,원형,주황,
5032,,TZS,,원형,주황,
5033,,마크,,원형,분홍,
5034,,NP,분할선,타원형,주황,
5035,,ZVT,분할선,장방형,주황,
5036,,H분할선S,2 0,타원형,분홍,
5037,,N,분할선,기타,노랑,
5038,,ERD 마크,,장방형,초록,초록
5039,,ZS,,타원형,갈색,
5040,,KKM BCD,,장방형,노랑,"노랑, 옅은"
5041,,GUJU AC20,,장방형,갈색,분홍
5042,,HS EPR,,장방형,파랑,노랑
5043,,BR,,원형,하양,
5044,,SK,AF,원형,하양,
5045,,ANAC100,SI,원형,하양,
5046,,MM MD 7.5,,장방형,초록,초록
5047,,Exicam 7.5mg,,장방형,연두,연두
5048,,Bomic 7.5mg,,장방형,연두,연두
5049,,JY MLC,,장방형,연두,연두
5050,,HL REM,,장방형,초록,초록
5051,,ETX,NB,타원형,노랑,
5052,,PU 7,,장방형,노랑,노랑
5053,,PER분할선2,,장방형,노랑,
5054,,ID분할선2,,장방형,주황,
5055,,SEROQUEL,300,장방형,하양,
5056,,IP,,장방형,파랑,
5057,,TPN,,원형,하양,
5058,,IH,S,원형,하양,
5059,,MD분할선10,,장방형,하양,
5060,,KK,,원형,노랑,
5061,,K분할선J,VD,원형,하양,
5062,,마크,분할선,기타,하양,
5063,,NZT 75,,원형,노랑,
5064,,ID,100,원형,분홍,
5065,,ID,75,원형,하양,
5066,,P4,,타원형,노랑,
5067,,P2,,타원형,노랑,
5068,,IDP·C,,타원형,연두,
5069,,SP,250,타원형,노랑,
5070,,D-W,ITO,원형,하양,
5071,,D-W,분할선,원형,노랑,
5072,,SS,AN분할선5,팔각형,하양,
5073,,WU,F5,원형,분홍,
5074,,Minocin Minocin,,장방형,주황,노랑
5075,,OZEX,,원형,하양,
5076,,PT4,,타원형,노랑,
5077,,UNITOPA100,십자분할선,원형,노랑,
5078,,CERE,75,원형,분홍,
5079,,UNIZAC20,분할선,타원형,청록,
5080,,Y분할선H,분할선,기타,분홍,
5081,,UNIAL,,타원형,검정,
5082,,D-W분할선D-W,MT분할선MT,기타,하양,
5083,,Rs분할선3,,장방형,노랑,
5084,,MAX,70,타원형,하양,
5085,,ID분할선BT,분할선,장방형,하양,
5086,,CKD,C,원형,하양,
5087,,JY100,,원형,하양,
5088,,ASG,,원형,하양,
5089,,Y,분할선,원형,노랑,
5090,,NKME,,원형,하양,
5091,,TIR,,원형,하양,
5092,,TP,,원형,하양,
5093,,HN,,원형,하양,
5094,,마크,LRN,원형,하양,
5095,,HT분할선F,,원형,하양,
5096,,HOE,5,원형,갈색,
5097,,DW,C분할선5,원형,하양,
5098,,PD,,원형,하양,
5099,,MK ZD,,장방형,노랑,노랑
5100,,마크 DVL,,장방형,노랑,노랑
5101,,마크,3,원형,하양,
5102,,SAMIL분할선150,,원형,하양,
5103,,TDI,,원형,초록,
5104,,B,분할선,장방형,하양,
5105,,CFTM,,장방형,하양,
5106,,마크 DFL,,장방형,파랑,하양
5107,,RM,UT,원형,하양,
5108,,IY,RM,원형,하양,
5109,,PM,,원형,하양,
5110,,BD,,원형,하양,
5111,,마크,GT2,장방형,하양,
5112,,LS,25,원형,하양,
5113,,BT,,원형,하양,
5114,,NGP,500,원형,하양,
5115,,DKP,DIF,원형,하양,
5116,,마크 PTG,,장방형,초록,노랑
5117,,UPJOHN10,분할선,타원형,하양,
5118,,UPJOHN17,분할선,타원형,파랑,
5119,,AN,,원형,하양,
5120,,LXF,,원형,하양,
5121,,마크 CRX,,장방형,초록,초록
5122,,MMOM,,원형,하양,
5123,,AJU COT,,원형,하양,
5124,,NS DF50,,장방형,초록,하양
5125,,SUDO MCZ,,장방형,파랑,하양
5126,,D-W D-WDFR DFR,,장방형,파랑,하양
5127,,K.D PNZ50,,장방형,파랑,하양
5128,,IDP,,타원형,노랑,
5129,,Kb,K,원형,하양,
5130,,ETEX CX,,장방형,주황,주황
5131,,마크 CFX,,장방형,주황,주황
5132,,CFL250 IYP,,장방형,보라,하양
5133,,IBN CFC,,장방형,보라,하양
5134,,AC,A분할선5,원형,하양,
5135,,LDP,,원형,분홍,
5136,,HFm,5,원형,분홍,
5137,,TZ,분할선,원형,하양,
5138,,TZ,I분할선H,원형,주황,
5139,,ETX,TS,원형,주황,
5140,,NK40,분할선,타원형,분홍,
5141,,GJ SC,분할선,타원형,주황,
5142,,Kb,분할선,타원형,주황,
5143,,HMP,분할선,타원형,분홍,
5144,,JY,분할선,기타,노랑,
5145,,KOLON,AM분할선5,팔각형,하양,
5146,,AST,,원형,노랑,
5147,,마크 ELT,,장방형,초록,노랑
5148,,CSY MUC,,장방형,초록,노랑
5149,,HMP ERD,,장방형,초록,노랑
5150,,AJURET,,원형,하양,
5151,,마크,CTT,장방형,연두,
5152,,LANSO 30,,장방형,하양,하양
5153,,BC LPZ,,장방형,하양,하양
5154,,NKM,,원형,하양,
5155,,마크L,,원형,하양,
5156,,마크,UC,원형,하양,
5157,,Kb,,원형,하양,
5158,,K50,,원형,하양,
5159,,마크,E분할선S,타원형,주황,
5160,,Y분할선I,16,장방형,하양,
5161,,Gabapentin----------300mg마크,,장방형,노랑,노랑
5162,,십자분할선,FIN,원형,파랑,
5163,,Legacell,,장방형,"갈색, 투명",
5164,,KLN GPC300,,장방형,노랑,노랑
5165,,Z분할선10,WPC,장방형,하양,
5166,,100,WPC,원형,노랑,
5167,,마크 T02,,장방형,주황,하양
5168,,KW PDW   300,,장방형,노랑,노랑
5169,,PK-A PK-A,,장방형,연두,연두
5170,,K,75,원형,분홍,
5171,,D-W ZRZ,,장방형,초록,
5172,,마크,C분할선M,장방형,하양,
5173,,마크,C분할선M,장방형,노랑,
5174,,KJ ITR,,장방형,하양,"분홍, 투명"
5175,,SC,250,장방형,주황,
5176,,KJ UTN,,장방형,노랑,하양
5177,,Gapentin？？ --------  300mg마크,,장방형,노랑,노랑
5178,,YP,,장방형,분홍,
5179,,TYPENER,,장방형,하양,
5180,,SP,500,타원형,하양,
5181,,MGF,,원형,하양,
5182,,S분할선P,S40,타원형,분홍,
5183,,KUP FLU-50,,장방형,파랑,파랑
5184,,SWC,,원형,하양,
5185,,C분할선D,KW,원형,하양,
5186,,마크,,원형,하양,
5187,,RB,,원형,하양,
5188,,마크,LP,원형,하양,
5189,,YRF,,원형,하양,
5190,,S분할선P,L₁,원형,하양,
5191,,P분할선10,,원형,자주,
5192,,MPD,,원형,하양,
5193,,DW,,원형,하양,
5194,,HL114,,원형,하양,
5195,,SAMJIN CRZ-S,,장방형,회색,분홍
5196,,D-W,S분할선20,타원형,주황,
5197,,KMS ASP,,원형,하양,
5198,,마크,RS,원형,하양,
5199,,마크,CL,원형,하양,
5200,,AG FLC,,장방형,파랑,하양
5201,,0,A100,원형,하양,
5202,,F40,분할선,타원형,분홍,
5203,,UDB UDB,,장방형,하양,하양
5204,,SP,-분할선-,원형,하양,
5205,,CLS,,타원형,빨강,
5206,,TR,,원형,하양,
5207,,YH TIR,,장방형,파랑,하양
5208,,NK CPC,,장방형,보라,하양
5209,,B분할선K,10,장방형,하양,
5210,,마크 Selectine        20mg,,장방형,초록,노랑
5211,,GUJU AT20,,장방형,노랑,노랑
5212,,YI RCT,,장방형,연두,노랑
5213,,KPP FRZ,,장방형,노랑,노랑
5214,,마크  마크3105 3105,,장방형,연두,노랑
5215,,KD,124,장방형,하양,
5216,,ERS,,원형,하양,
5217,,TMΛ,,원형,하양,
5218,,ETX,AE,원형,하양,
5219,,KCP,분할선,원형,하양,
5220,,5,FDW,원형,분홍,
5221,,DTT,분할선,원형,주황,
5222,,TN,분할선,원형,분홍,
5223,,D분할선O,NVR,타원형,노랑,
5224,,SVTT,분할선,타원형,주황,
5225,,SCL,,타원형,주황,
5226,,YI,49,장방형,하양,
5227,,AC,,장방형,하양,
5228,,KJ EPT,,장방형,초록,노랑
5229,,마크 LPZ,,장방형,하양,하양
5230,,RP,,원형,분홍,
5231,,YI48,,원형,갈색,
5232,,마크 OPZ,,장방형,갈색,분홍
5233,,마크,CD,원형,하양,
5234,,HM분할선HM,분할선,기타,분홍,
5235,,G분할선B,분할선,기타,초록,
5236,,MM분할선MP2,분할선,기타,초록,
5237,,마크 CFC,,장방형,보라,하양
5238,,NGP NGP,,장방형,남색,하양
5239,,마크 CFD,,장방형,빨강,노랑
5240,,UNI DX,,장방형,빨강,노랑
5241,,마크RM,,원형,하양,
5242,,AC,ROSN,원형,하양,
5243,,ROXCIN150,,원형,하양,
5244,,KBP Flu,,장방형,파랑,하양
5245,,NK DCZ,,장방형,파랑,하양
5246,,IH,T분할선F,원형,하양,
5247,,마크,ΛSF분할선200,원형,파랑,
5248,,SUDO　SUDONLS　 NLS,,장방형,노랑,노랑
5249,,PK,F,원형,하양,
5250,,SS,AF,원형,하양,
5251,,SWA,,원형,하양,
5252,,CTΛ,,원형,하양,
5253,,KGP,,원형,하양,
5254,,UT D,분할선,타원형,하양,
5255,,마크,LP,원형,하양,
5256,,CPK분할선60,,원형,하양,
5257,,YP분할선LX,,원형,하양,
5258,,마크202,분할선,원형,분홍,
5259,,OZ1,분할선,타원형,하양,
5260,,SCD,TC,장방형,분홍,
5261,,Gabapentin----------  100mg마크,,장방형,하양,하양
5262,,MK MX,,장방형,초록,초록
5263,,KOLON,CFZ,장방형,주황,
5264,,KUHNIL ACP,,장방형,회색,하양
5265,,CU CD,,장방형,노랑,
5266,,SD분할선GLP,분할선,기타,초록,
5267,,마크,SW,원형,청록,
5268,,S분할선D,DXF,장방형,분홍,
5269,,KAP EDC,,장방형,초록,노랑
5270,,CKD,마크,타원형,하양,
5271,,마크 ZDX     40,,장방형,파랑,파랑
5272,,마크 ZDX     20,,장방형,파랑,하양
5273,,DCU,,원형,하양,
5274,,DA,SLT,타원형,연두,
5275,,SUDO SUDOLPZ  LPZ,,장방형,하양,하양
5276,,AI,,원형,노랑,
5277,,YH,RZC,장방형,주황,
5278,,KJ NPT   100mg,,장방형,하양,하양
5279,,KJ NPT   300mg,,장방형,노랑,노랑
5280,,K2 C34,,장방형,회색,분홍
5281,,ND분할선5,DKP,팔각형,하양,
5282,,AL,T,원형,하양,
5283,,LSP LSP,,장방형,하양,하양
5284,,CKD EDLT,,장방형,초록,노랑
5285,,ryt,,원형,하양,
5286,,RYA,,원형,하양,
5287,,DA DFX,,장방형,연두,노랑
5288,,마크FINA,십자분할선,원형,파랑,
5289,,EPJW,,원형,하양,
5290,,SL,,원형,갈색,
5291,,마크33,,원형,하양,
5292,,AL,분할선,원형,하양,
5293,,THT,마크,원형,초록,
5294,,AJU CFX,,장방형,주황,주황
5295,,AJU,T,원형,하양,
5296,,D-WRBP,,원형,하양,
5297,,D-W,T분할선2,원형,주황,
5298,,D-W,TPM,원형,하양,
5299,,SNP,TI,원형,하양,
5300,,마크,S분할선V,타원형,주황,
5301,,mi,SLT분할선50,장방형,하양,
5302,,625,,타원형,하양,
5303,,M,분할선,원형,하양,
5304,,SK,RE,원형,하양,
5305,,RC,,원형,하양,
5306,,마크,,원형,하양,
5307,,마크,25,원형,하양,
5308,,0,,장방형,갈색,
5309,,JRP분할선150F,,원형,하양,
5310,,마크4,,장방형,파랑,파랑
5311,,0,,기타,"초록, 투명",
5312,,WU,,타원형,자주,
5313,,M,250,원형,하양,
5314,,M,500,원형,하양,
5315,,SP ARTHREN     50mg,,장방형,노랑,"노랑, 옅은"
5316,,TGAC,,원형,하양,
5317,,AN50,,원형,하양,
5318,,마크,TNL,원형,하양,
5319,,S분할선BB,분할선,장방형,하양,
5320,,SA,C분할선V,원형,하양,
5321,,마크,C분할선D,원형,하양,
5322,,CEFACLOR JRP 250mg,,장방형,보라,하양
5323,,CERA,,장방형,보라,하양
5324,,GUJU CF250,,장방형,보라,하양
5325,,Wal C20,,장방형,주황,주황
5326,,Wal C12,,장방형,파랑,파랑
5327,,SNP,CM,원형,하양,
5328,,TG분할선CF,,원형,하양,
5329,,SNP,LX,원형,하양,
5330,,UK분할선14,,원형,하양,
5331,,ETX,RN,원형,하양,
5332,,KKM분할선LX,,원형,하양,
5333,,LOX,,원형,분홍,
5334,,마크 MOX7.5mg,,장방형,연두,연두
5335,,Wal C17,,장방형,연두,연두
5336,,COX COX,,장방형,초록,초록
5337,,kpp MRB,,장방형,연두,연두
5338,,PU8,,원형,하양,
5339,,HS,M분할선T,장방형,노랑,
5340,,KGP,,원형,주황,
5341,,마크 F20,,장방형,연두,노랑
5342,,SNP FR,,장방형,연두,노랑
5343,,ETEX PRH,,장방형,연두,노랑
5344,,MK FT,,장방형,초록,노랑
5345,,MK,,원형,하양,
5346,,SS,T,원형,하양,
5347,,T,SΛ,원형,하양,
5348,,SWTR,,원형,하양,
5349,,WU,TF,원형,하양,
5350,,DKPAZ,,원형,노랑,
5351,,CPK21,,원형,노랑,
5352,,XT,,원형,노랑,
5353,,CF,KI--,장방형,주황,
5354,,TGEQ,,원형,초록,
5355,,MK분할선ET,,장방형,하양,
5356,,GJ분할선LF,,원형,하양,
5357,,Mobid 7.5mg,,장방형,초록,초록
5358,,NGP NGP,,장방형,연두,연두
5359,,KGP MLX,,장방형,연두,연두
5360,,YI MCR,,장방형,초록,초록
5361,,K2,,원형,하양,
5362,,CT,,원형,하양,
5363,,AJUCIT,,원형,노랑,
5364,,마크분할선30,,장방형,하양,
5365,,YI2,,원형,주황,
5366,,PKC,분할선,장방형,하양,
5367,,KMS,ZDP 5,원형,분홍,
5368,,AJUCBT,,원형,갈색,
5369,,YH AM2.5,,장방형,노랑,하양
5370,,S&P,,원형,분홍,
5371,,ASM,,장방형,초록,
5372,,RYCN,,타원형,초록,
5373,,마크 WTR,,장방형,빨강,
5374,,ALMEC,,장방형,초록,
5375,,YI-V,,장방형,초록,
5376,,SNP GVS,,장방형,초록,
5377,,P,KW,원형,하양,
5378,,Hanmi 100,,장방형,하양,하양
5379,,SP,CE,장방형,하양,
5380,,y분할선p,분할선,기타,하양,
5381,,DO,분할선,원형,하양,
5382,,DCLAN,,원형,분홍,
5383,,D분할선K,마크,원형,하양,
5384,,UKP NCL,,장방형,보라,하양
5385,,H5,,원형,분홍,
5386,,KDL,,원형,갈색,
5387,,hw72,,원형,하양,
5388,,hw,73,원형,하양,
5389,,hw40,분할선,원형,하양,
5390,,KM,,원형,하양,
5391,,NKH,,장방형,하양,
5392,,IBS,분할선,원형,하양,
5393,,2.5,,장방형,주황,
5394,,5,,장방형,노랑,
5395,,JI,FN,원형,하양,
5396,,0,,원형,노랑,
5397,,R분할선1,,장방형,하양,
5398,,마크 Bisron,,장방형,주황,주황
5399,,SP ROXAGEN,,장방형,연두,하양
5400,,MBT,분할선,장방형,노랑,
5401,,HN,분할선,타원형,주황,
5402,,HELI,분할선,장방형,노랑,
5403,,UK12,분할선,원형,하양,
5404,,ΛJU,LTT,팔각형,하양,
5405,,YPP,,원형,하양,
5406,,CSY FIRO,십자분할선,원형,파랑,
5407,,CDN DWP,,장방형,파랑,하양
5408,,HA Flu,,장방형,연두,노랑
5409,,TG FLU,,장방형,파랑,하양
5410,,ID ID,,장방형,파랑,하양
5411,,ETX2,G,원형,하양,
5412,,SR,TD,원형,하양,
5413,,TG,TGL,타원형,하양,
5414,,DA MCC,,장방형,초록,초록
5415,,RY MLC,,장방형,연두,연두
5416,,CKD M7.5,,장방형,연두,연두
5417,,KJ MF 7.5,,장방형,연두,연두
5418,,hw CXC   7.5,,장방형,초록,초록
5419,,SP NEWSICAM,,장방형,연두,연두
5420,,YH MLX7.5,,장방형,파랑,파랑
5421,,SJNR,분할선,장방형,하양,
5422,,IBN800,분할선,장방형,하양,
5423,,CGP3,분할선,타원형,하양,
5424,,ΛM,,원형,하양,
5425,,R분할선0.5,,장방형,갈색,
5426,,ET2,분할선,타원형,분홍,
5427,,TG SS,분할선,타원형,주황,
5428,,KMS,분할선,타원형,갈색,
5429,,ET,TM,원형,주황,
5430,,IBN,,원형,주황,
5431,,R분할선S,마크,원형,하양,
5432,,H분할선W,T,원형,하양,
5433,,TG,T분할선B,원형,하양,
5434,,마크,1,원형,노랑,
5435,,U2,,원형,노랑,
5436,,AT,,원형,노랑,
5437,,ETEX,,원형,노랑,
5438,,DC,분할선,원형,하양,
5439,,VT,분할선,원형,분홍,
5440,,마크C,분할선,원형,하양,
5441,,EL,,육각형,하양,
5442,,S분할선S,T,원형,주황,
5443,,Y분할선P,,원형,주황,
5444,,MM4,,원형,노랑,
5445,,WU,5,원형,파랑,
5446,,YJP,PS20,장방형,분홍,
5447,,MSV,분할선,타원형,주황,
5448,,SVA,마크,타원형,분홍,
5449,,SNP,분할선,타원형,주황,
5450,,I분할선Y,BTP,기타,노랑,
5451,,HS,분할선,기타,노랑,
5452,,마크,70,타원형,하양,
5453,,CKD LTW,,장방형,연두,하양
5454,,KGP FLU,,장방형,파랑,하양
5455,,마크 SPO,,장방형,파랑,분홍
5456,,GBP 300 마크,,장방형,노랑,노랑
5457,,MMTP,십자분할선,원형,노랑,
5458,,DC AL,,타원형,초록,
5459,,CONE,,장방형,초록,
5460,,KJ MF 15,,장방형,초록,노랑
5461,,STD STD 554 554,,장방형,분홍,하양
5462,,십자분할선,SCDPA,원형,파랑,
5463,,UM  RONTIN100,,장방형,하양,하양
5464,,PUII,,장방형,주황,
5465,,PL MC,,장방형,연두,연두
5466,,M분할선M,M분할선10,기타,하양,
5467,,SP,C분할선3,타원형,하양,
5468,,분할선,KRL10,원형,노랑,
5469,,XR,500,장방형,하양,
5470,,MK NR,,장방형,노랑,노랑
5471,,마크,,원형,하양,
5472,,SP,C분할선4,타원형,하양,
5473,,SP,CNT,장방형,하양,
5474,,SP,HR600,장방형,연두,
5475,,WJ1,,타원형,주황,
5476,,WJP NNT20,,장방형,연두,노랑
5477,,ELS DWP,,장방형,초록,노랑
5478,,J-1,분할선,원형,하양,
5479,,JY350,분할선,원형,하양,
5480,,AJU,SVT,타원형,분홍,
5481,,MKFC,,원형,하양,
5482,,ΛKP,,원형,하양,
5483,,FLC 10mg,,장방형,연두,연두
5484,,A-008 10,,장방형,분홍,
5485,,A-009 15,,원형,노랑,
5486,,S,TS,원형,하양,
5487,,C,,원형,연두,
5488,,CT,,타원형,분홍,
5489,,KUP ELD,,장방형,초록,노랑
5490,,마크,CM분할선4,장방형,파랑,
5491,,R,KW,원형,하양,
5492,,YH,4,원형,하양,
5493,,TC442 TC442,,장방형,하양,하양
5494,,GUJU CFX100,,장방형,주황,주황
5495,,Y분할선H,TF,원형,하양,
5496,,ET5,,원형,하양,
5497,,H분할선W,FM,기타,하양,
5498,,마크 NTC300,,장방형,노랑,노랑
5499,,KMS,C1,원형,하양,
5500,,UK1,,원형,하양,
5501,,Krs·AF,,원형,하양,
5502,,NG분할선LXZ,,원형,하양,
5503,,H분할선M,LOX,원형,하양,
5504,,KW MAC,,장방형,초록,초록
5505,,마크 MBX,,장방형,초록,초록
5506,,IDP RXM,,장방형,초록,초록
5507,,NBG,,원형,하양,
5508,,KK,N분할선B,장방형,노랑,
5509,,PKP,,원형,주황,
5510,,마크 FXT,,장방형,연두,노랑
