medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
161,,PHD471,MOK10,사각형,주황,
162,,NVR,UHE,장방형,하양,
163,,80,분할선,장방형,노랑,
164,,PA,마크,오각형,하양,
165,,E분할선N,,타원형,하양,
166,,마크-5,,원형,노랑,
167,,HMC 8,,장방형,갈색,
168,,복합유디리버,,타원형,갈색,초록
169,,E120,,타원형,초록,
170,,ATL-G,,장방형,빨강,
171,,MTS 이탄탄큐,,장방형,초록,초록
172,,디퓨텐,,타원형,"노랑, 투명",
173,,MNT KRT,,장방형,초록,노랑
174,,iksu,,장방형,하양,
175,,마그롤,,장방형,갈색,
176,,MTS ETTP,,장방형,초록,초록
177,,ETX,,장방형,갈색,
178,,ATL-M,,장방형,초록,
179,,MMHMC,,장방형,"주황, 투명",
180,,HKLG,,장방형,갈색,
181,,QS,CKD,타원형,분홍,
182,,마크,,원형,회색,
183,,YRS,,타원형,파랑,
184,,R150,YH,장방형,파랑,
185,,BTN,,타원형,파랑,
186,,VAL,YJP,장방형,하양,
187,,M분할선I,50,사각형,노랑,
188,,Q25,MI,원형,분홍,
189,,A분할선G,LT5,기타,주황,
190,,마크,T분할선11,원형,하양,
191,,마크,T분할선12,원형,하양,
192,,Y분할선Z,,원형,하양,
193,,MM,MTC4,타원형,분홍,
194,,AG,MT4,타원형,분홍,
195,,4142,마크,장방형,하양,
196,,DIL,W분할선I,원형,분홍,
197,,ID·L4,,타원형,하양,
198,,H분할선L,SX,오각형,하양,
199,,Dila 64mgSR,,장방형,하양,하양
200,,MM,150,장방형,파랑,
201,,HM,150,타원형,파랑,
202,,마크,RIS,타원형,파랑,
203,,SEL,RIS,장방형,파랑,
204,,BRP,15,원형,하양,
205,,KR02,KR02,원형,연두,
206,,S476,,타원형,갈색,
207,,SINIL,SV분할선 10,팔각형,하양,
208,,FOL,분할선,원형,분홍,
209,,HMPB,,장방형,노랑,
210,,SL,SC,장방형,갈색,
211,,GS NX325,,원형,하양,
212,,GS UFU50,,원형,주황,
213,,M분할선10,,장방형,갈색,
214,,MERCK,1000,타원형,하양,
215,,SR 1000,,타원형,하양,
216,,폴원,,타원형,빨강,
217,,HMD5,,원형,하양,
218,,RisM,,장방형,파랑,
219,,PB,150,타원형,파랑,
